MTU,Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),date,country
MTU,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,
MTU,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,
MTU,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,
MTU,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,
08:45 - 09:00,4539.0,4034.0,n/e,2782.0,2465.0,281.0,n/e,n/e,27.0,146.0,1857.0,1433.0,27.0,n/e,3339.0,326.0,126.0,663.0,841.0,4150.0,16231.0,2022-01-01,DE
09:00 - 09:15,4543.0,4185.0,n/e,2703.0,2451.0,281.0,n/e,n/e,27.0,144.0,2262.0,1430.0,33.0,n/e,3331.0,326.0,126.0,1149.0,843.0,4261.0,16100.0,2022-01-01,DE
09:15 - 09:30,4572.0,4202.0,n/e,2690.0,2437.0,281.0,n/e,n/e,27.0,139.0,1663.0,1433.0,23.0,n/e,3328.0,326.0,126.0,1703.0,837.0,4313.0,15851.0,2022-01-01,DE
09:30 - 09:45,4570.0,4232.0,n/e,2709.0,2467.0,281.0,n/e,n/e,27.0,140.0,1330.0,1433.0,21.0,n/e,3330.0,326.0,126.0,2242.0,839.0,4253.0,15389.0,2022-01-01,DE
09:45 - 10:00,4547.0,4219.0,n/e,2704.0,2491.0,281.0,n/e,n/e,24.0,142.0,1285.0,1440.0,21.0,n/e,3334.0,320.0,126.0,2814.0,838.0,4029.0,15211.0,2022-01-01,DE
10:00 - 10:15,4540.0,4346.0,n/e,2818.0,2429.0,281.0,n/e,n/e,22.0,229.0,1467.0,1433.0,21.0,n/e,3337.0,320.0,126.0,3428.0,840.0,4036.0,14767.0,2022-01-01,DE
10:15 - 10:30,4555.0,4436.0,n/e,2819.0,2444.0,281.0,n/e,n/e,22.0,259.0,1542.0,1437.0,20.0,n/e,3336.0,320.0,126.0,4081.0,842.0,4061.0,14142.0,2022-01-01,DE
10:30 - 10:45,4564.0,4348.0,n/e,2826.0,2449.0,281.0,n/e,n/e,22.0,304.0,1239.0,1439.0,23.0,n/e,3340.0,320.0,126.0,4746.0,847.0,4129.0,13677.0,2022-01-01,DE
10:45 - 11:00,4569.0,4367.0,n/e,2838.0,2454.0,281.0,n/e,n/e,22.0,260.0,1132.0,1442.0,20.0,n/e,3344.0,320.0,126.0,5376.0,837.0,3978.0,13261.0,2022-01-01,DE
11:00 - 11:15,4547.0,4396.0,n/e,2820.0,2488.0,281.0,n/e,n/e,22.0,135.0,1517.0,1441.0,30.0,n/e,3344.0,320.0,126.0,5909.0,838.0,3923.0,12621.0,2022-01-01,DE
