iter	Passed	Remaining
609	18998	12146
610	19026	12113
611	19056	12081
612	19080	12045
613	19108	12012
614	19135	11979
615	19161	11944
616	19189	11911
617	19213	11876
618	19241	11843
619	19266	11808
620	19291	11773
621	19315	11738
622	19342	11704
623	19370	11671
624	19395	11637
625	19424	11604
626	19446	11568
627	19473	11535
628	19500	11501
629	19524	11466
630	19552	11433
631	19580	11401
632	19606	11367
633	19631	11333
634	19655	11297
635	19678	11262
636	19705	11229
637	19729	11194
638	19755	11160
639	19784	11128
640	19809	11094
641	19836	11061
642	19860	11026
643	19887	10993
644	19912	10959
645	19938	10926
646	19963	10891
647	19993	10860
648	20040	10838
649	20077	10811
650	20103	10777
651	20128	10743
652	20152	10708
653	20176	10674
654	20203	10641
655	20227	10607
656	20252	10573
657	20279	10540
658	20304	10506
659	20333	10474
660	20356	10439
661	20380	10405
662	20404	10371
663	20432	10339
664	20457	10305
665	20482	10272
666	20523	10246
667	20547	10212
668	20570	10177
669	20594	10143
670	20619	10109
671	20646	10077
672	20671	10044
673	20696	10010
674	20718	9975
675	20744	9942
676	20769	9909
677	20794	9876
678	20819	9842
679	20846	9810
680	20873	9777
681	20901	9745
682	20929	9713
683	20957	9682
684	20983	9649
685	21010	9617
686	21035	9583
687	21064	9552
688	21088	9519
689	21113	9485
690	21137	9452
691	21162	9418
692	21186	9385
693	21212	9352
694	21236	9319
695	21262	9287
696	21287	9254
697	21317	9223
698	21344	9191
699	21366	9157
700	21395	9125
701	21418	9092
702	21443	9059
703	21466	9025
704	21494	8993
705	21515	8959
706	21540	8927
707	21563	8893
708	21592	8862
709	21616	8829
710	21644	8798
711	21670	8765
712	21694	8732
713	21719	8700
714	21742	8666
715	21766	8633
716	21791	8600
717	21816	8568
718	21843	8536
719	21903	8517
720	21927	8485
721	21954	8453
722	21978	8420
723	22005	8388
724	22030	8356
725	22057	8324
726	22081	8291
727	22109	8260
728	22135	8228
729	22159	8196
730	22185	8164
731	22210	8131
732	22238	8100
733	22264	8068
734	22288	8035
735	22314	8004
736	22341	7972
737	22367	7940
738	22391	7908
739	22416	7876
740	22444	7844
741	22470	7813
742	22499	7782
743	22524	7750
744	22551	7719
745	22576	7686
746	22603	7655
747	22630	7624
748	22655	7592
749	22680	7560
750	22705	7528
751	22731	7496
752	22757	7464
753	22783	7433
754	22807	7400
755	22833	7369
756	22860	7338
757	22885	7306
758	22910	7274
759	22934	7242
760	22958	7210
761	22984	7178
762	23008	7146
763	23034	7115
764	23058	7083
765	23084	7051
766	23109	7020
767	23133	6988
768	23164	6958
769	23188	6926
770	23215	6895
771	23241	6864
772	23268	6833
773	23297	6802
774	23323	6771
775	23378	6748
776	23434	6725
777	23474	6698
778	23505	6668
779	23539	6639
780	23582	6612
781	23619	6584
782	23658	6556
783	23731	6538
784	23766	6509
785	23808	6482
786	23844	6453
787	23882	6425
788	23921	6397
789	23951	6366
790	23984	6337
791	24021	6308
792	24051	6278
793	24102	6253
794	24141	6225
795	24170	6194
