iter	Passed	Remaining
749	22880	739789
750	22916	739951
751	22945	739864
752	22974	739803
753	23008	739857
754	23033	739677
755	23066	739711
756	23099	739761
757	23132	739814
758	23161	739723
759	23192	739720
760	23224	739721
761	23252	739622
762	23283	739603
763	23316	739660
764	23348	739661
765	23379	739644
766	23411	739687
767	23442	739663
768	23474	739661
769	23504	739625
770	23534	739594
771	23565	739566
772	23598	739626
773	23631	739665
774	23660	739586
775	23689	739507
776	23726	739669
777	23762	739800
778	23789	739669
779	23819	739622
780	23847	739530
781	23879	739543
782	23912	739584
783	23945	739619
784	23978	739682
785	24009	739665
786	24041	739666
787	24071	739613
788	24098	739464
789	24130	739484
790	24157	739356
791	24187	739295
792	24224	739483
793	24255	739461
794	24287	739460
795	24317	739432
796	24348	739411
797	24377	739342
798	24409	739350
799	24442	739394
800	24475	739432
801	24513	739612
802	24543	739582
803	24577	739653
804	24613	739772
805	24641	739681
806	24674	739729
807	24705	739684
808	24736	739688
809	24765	739613
810	24795	739557
811	24827	739552
812	24859	739587
813	24890	739548
814	24919	739477
815	24947	739369
816	24976	739284
817	25010	739357
818	25041	739363
819	25074	739389
820	25104	739345
821	25134	739284
822	25161	739174
823	25191	739111
824	25223	739138
825	25257	739194
826	25289	739208
827	25326	739354
828	25356	739327
829	25390	739386
830	25418	739289
831	25449	739250
832	25484	739362
833	25515	739331
834	25548	739380
835	25582	739440
836	25613	739421
837	25642	739342
838	25669	739214
839	25699	739164
840	25728	739081
841	25758	739034
842	25789	739015
843	25822	739065
844	25849	738938
845	25877	738836
846	25908	738807
847	25935	738679
848	25966	738657
849	25996	738610
850	26027	738596
851	26059	738605
852	26086	738474
853	26116	738413
854	26144	738327
855	26176	738315
856	26206	738284
857	26236	738241
858	26265	738168
859	26297	738159
860	26326	738087
861	26354	737977
862	26387	738015
863	26421	738091
864	26452	738082
865	26482	738028
866	26515	738060
867	26544	737992
868	26573	737925
869	26604	737899
870	26633	737824
871	26667	737885
872	26695	737789
873	26729	737837
874	26761	737842
875	26789	737744
876	26821	737764
877	26853	737766
878	26881	737674
879	26912	737651
880	26944	737650
881	26971	737513
882	26998	737400
883	27029	737378
884	27058	737319
885	27090	737308
886	27122	737316
887	27149	737198
888	27183	737256
889	27211	737162
890	27242	737140
891	27277	737232
892	27313	737338
893	27343	737302
894	27375	737304
895	27406	737289
896	27439	737324
897	27471	737330
898	27501	737274
899	27533	737280
900	27562	737212
901	27591	737132
902	27618	737016
903	27647	736948
904	27675	736835
905	27707	736842
906	27733	736692
907	27764	736663
908	27794	736631
909	27821	736510
910	27859	736663
911	27889	736636
912	27924	736716
913	27955	736692
914	27983	736599
915	28015	736602
916	28048	736624
917	28080	736627
918	28109	736561
919	28136	736441
920	28168	736441
921	28195	736327
922	28223	736233
923	28257	736285
924	28287	736243
925	28321	736309
926	28349	736208
927	28380	736184
928	28409	736121
929	28444	736187
930	28472	736088
931	28505	736131
932	28542	736249
933	28576	736307
934	28603	736189
935	28635	736191
936	28666	736175
937	28699	736213
938	28729	736175
939	28761	736163
940	28787	736028
941	28820	736046
942	28849	735987
943	28876	735866
944	28907	735847
945	28937	735800
946	28970	735816
947	28999	735762
948	29029	735708
949	29058	735646
950	29088	735592
951	29118	735548
952	29148	735498
953	29182	735552
954	29212	735516
955	29240	735423
956	29269	735343
957	29300	735330
958	29331	735313
959	29362	735297
960	29393	735256
961	29424	735249
962	29454	735206
963	29484	735143
964	29515	735123
965	29547	735136
966	29579	735147
967	29610	735116
968	29641	735096
969	29671	735048
970	29702	735049
971	29733	735007
972	29768	735098
973	29795	734986
974	29823	734877
975	29853	734824
976	29883	734792
977	29914	734781
978	29942	734674
979	29968	734542
980	30003	734622
981	30031	734530
982	30063	734516
983	30096	734559
984	30127	734521
985	30161	734591
986	30192	734555
987	30222	734527
988	30254	734528
989	30280	734388
990	30313	734415
991	30344	734376
992	30379	734456
993	30408	734396
994	30439	734366
995	30472	734403
996	30502	734365
997	30533	734337
998	30569	734437
999	30602	734452
1000	30630	734375
1001	30661	734353
1002	30690	734287
1003	30725	734353
1004	30761	734445
1005	30790	734372
1006	30820	734337
1007	30847	734209
1008	30875	734125
1009	30912	734256
1010	30945	734283
1011	30977	734274
1012	31010	734306
1013	31038	734202
1014	31069	734182
1015	31095	734057
1016	31127	734041
1017	31158	734018
1018	31190	734021
1019	31217	733911
1020	31247	733872
1021	31278	733855
1022	31310	733848
1023	31339	733785
1024	31372	733821
1025	31407	733886
1026	31441	733923
1027	31467	733802
1028	31497	733759
1029	31529	733741
1030	31556	733634
1031	31587	733611
1032	31620	733643
1033	31655	733702
1034	31687	733703
1035	31717	733677
1036	31746	733609
1037	31781	733673
1038	31811	733632
1039	31846	733683
1040	31875	733633
1041	31905	733579
1042	31938	733603
1043	31965	733499
1044	31994	733433
1045	32026	733435
1046	32059	733454
1047	32087	733350
1048	32119	733357
1049	32149	733311
1050	32179	733278
1051	32207	733178
1052	32239	733186
1053	32271	733177
1054	32298	733070
1055	32326	732985
1056	32357	732962
1057	32387	732921
1058	32415	732826
1059	32443	732732
1060	32479	732823
1061	32506	732722
1062	32536	732677
1063	32564	732578
1064	32598	732628
1065	32633	732696
1066	32661	732597
1067	32692	732574
1068	32720	732495
1069	32753	732520
1070	32785	732521
1071	32818	732529
1072	32849	732506
1073	32876	732413
1074	32906	732359
1075	32934	732266
1076	32962	732182
1077	32991	732113
1078	33019	732036
1079	33050	732004
1080	33079	731942
1081	33113	731989
1082	33143	731937
1083	33171	731852
1084	33201	731804
1085	33233	731814
1086	33265	731810
1087	33298	731839
1088	33327	731770
1089	33358	731747
1090	33393	731805
1091	33424	731792
1092	33451	731685
1093	33485	731720
1094	33516	731697
1095	33548	731710
1096	33580	731708
1097	33613	731714
1098	33644	731693
1099	33674	731655
1100	33701	731548
1101	33731	731494
1102	33763	731498
1103	33792	731426
1104	33820	731347
1105	33855	731413
1106	33888	731441
1107	33917	731374
1108	33946	731311
1109	33979	731317
1110	34006	731216
1111	34035	731151
1112	34067	731156
1113	34096	731093
1114	34124	731003
1115	34154	730962
1116	34191	731054
1117	34222	731042
1118	34257	731103
1119	34291	731133
1120	34316	730995
1121	34347	730978
1122	34375	730892
1123	34410	730954
1124	34441	730933
1125	34468	730819
1126	34505	730918
1127	34536	730893
1128	34562	730782
1129	34592	730736
1130	34624	730730
1131	34657	730748
1132	34688	730727
1133	34713	730569
1134	34743	730526
1135	34770	730434
1136	34803	730438
1137	34833	730395
1138	34863	730355
1139	34903	730516
1140	34931	730440
1141	34963	730440
1142	35004	730622
1143	35036	730613
1144	35061	730479
1145	35091	730432
1146	35121	730381
1147	35149	730306
1148	35185	730382
1149	35220	730438
1150	35246	730315
1151	35279	730340
1152	35305	730209
1153	35339	730253
1154	35368	730191
1155	35399	730170
1156	35431	730157
1157	35462	730142
1158	35490	730056
1159	35522	730054
1160	35553	730015
1161	35581	729938
1162	35616	729996
1163	35645	729929
1164	35681	730025
1165	35709	729940
1166	35745	730016
1167	35776	729995
1168	35809	729998
1169	35838	729932
1170	35867	729870
1171	35896	729813
1172	35924	729719
1173	35951	729624
1174	35981	729581
1175	36010	729518
1176	36045	729585
1177	36079	729608
1178	36112	729622
1179	36140	729544
1180	36176	729624
1181	36210	729657
1182	36238	729580
1183	36265	729477
1184	36302	729567
1185	36331	729504
1186	36360	729445
1187	36389	729385
1188	36421	729376
1189	36454	729399
1190	36487	729409
1191	36515	729330
1192	36547	729322
1193	36573	729199
1194	36609	729285
1195	36638	729219
1196	36669	729202
1197	36697	729117
1198	36729	729116
1199	36755	728984
1200	36783	728903
1201	36811	728824
1202	36840	728753
1203	36874	728788
1204	36906	728792
1205	36942	728872
1206	36971	728810
1207	37003	728803
1208	37034	728774
1209	37061	728677
1210	37092	728644
1211	37121	728583
1212	37150	728530
1213	37184	728566
1214	37219	728606
1215	37248	728544
1216	37277	728480
1217	37304	728378
1218	37334	728346
1219	37366	728331
1220	37392	728227
1221	37422	728178
1222	37458	728256
1223	37485	728157
1224	37520	728200
1225	37549	728146
1226	37577	728068
1227	37607	728009
1228	37635	727937
1229	37672	728025
1230	37699	727925
1231	37733	727952
1232	37765	727955
1233	37798	727978
1234	37831	727985
1235	37859	727906
1236	37885	727781
1237	37914	727724
1238	37946	727726
1239	37974	727645
1240	38002	727552
1241	38038	727624
1242	38075	727729
1243	38105	727676
1244	38131	727554
1245	38159	727484
1246	38188	727423
1247	38219	727404
1248	38247	727321
1249	38279	727318
1250	38308	727255
1251	38338	727213
1252	38371	727226
1253	38404	727238
1254	38437	727257
1255	38473	727319
1256	38502	727250
1257	38529	727169
1258	38561	727163
1259	38594	727160
1260	38622	727082
1261	38649	726981
1262	38676	726886
1263	38708	726884
1264	38740	726881
1265	38776	726950
1266	38804	726879
1267	38832	726791
1268	38863	726771
1269	38895	726755
1270	38925	726714
1271	38955	726683
1272	38984	726613
1273	39013	726565
1274	39042	726498
1275	39071	726429
1276	39096	726294
1277	39124	726222
1278	39158	726255
1279	39191	726260
1280	39217	726153
1281	39247	726108
1282	39275	726036
1283	39302	725934
1284	39336	725968
1285	39367	725940
1286	39393	725827
1287	39421	725744
1288	39450	725686
1289	39476	725579
1290	39507	725541
1291	39541	725574
1292	39575	725616
1293	39608	725628
1294	39638	725576
1295	39668	725543
1296	39698	725495
1297	39731	725504
1298	39763	725513
1299	39792	725445
1300	39822	725399
1301	39852	725362
1302	39884	725358
1303	39913	725302
1304	39940	725195
1305	39967	725113
1306	40003	725169
1307	40036	725178
1308	40068	725184
1309	40098	725136
1310	40132	725177
1311	40159	725083
1312	40198	725197
1313	40224	725081
1314	40254	725036
1315	40286	725041
1316	40314	724948
1317	40339	724832
1318	40372	724837
1319	40403	724807
1320	40434	724793
1321	40471	724875
1322	40501	724826
1323	40530	724770
1324	40558	724689
1325	40585	724602
1326	40620	724654
1327	40648	724564
1328	40677	724505
1329	40710	724519
1330	40743	724539
1331	40777	724558
1332	40805	724487
1333	40840	724528
1334	40867	724448
1335	40896	724380
1336	40923	724290
1337	40954	724260
1338	40982	724186
1339	41007	724057
1340	41036	723991
1341	41063	723911
1342	41096	723912
1343	41128	723911
1344	41163	723955
1345	41199	724019
1346	41234	724071
1347	41267	724081
1348	41302	724126
1349	41332	724084
1350	41361	724019
1351	41395	724053
1352	41421	723937
1353	41457	724005
1354	41486	723950
1355	41515	723891
1356	41550	723929
1357	41578	723863
1358	41607	723795
1359	41636	723747
1360	41664	723669
1361	41692	723585
1362	41718	723470
1363	41750	723468
1364	41783	723490
